-18.251150,-942.271423,3285.100098
-77.183754,-995.021301,3285.100098
-84.168373,-996.635071,3285.100098
-84.168373,-996.635071,3285.100098
-135.914124,-948.220947,3285.100098
-189.255341,-852.739319,3285.100098
-258.971008,-773.732788,3285.100098
-344.356323,-760.082947,3285.100098
-448.994629,-791.865234,3285.100098
-542.207581,-823.703369,3285.100098
-586.752930,-799.454712,3285.100098
-591.086609,-707.605164,3285.100098
-595.796875,-587.031494,3285.100098
-636.223999,-509.870880,3285.100098
-721.088806,-472.831116,3285.100098
-830.111389,-454.542755,3285.100098
-902.569153,-428.208435,3285.100098
-890.018616,-358.472015,3285.100098
-836.102783,-267.469330,3285.100098
-799.731079,-168.173065,3285.100098
-826.649231,-86.334251,3285.100098
-916.160095,-2.902255,3285.100098
-990.482483,65.901138,3285.100098
